Top 3 Densed Cluster : 
Cluster Id - 3
[{tweetId:3, tweet:happy thanksgiving today thankful best friends, groundTruth:0, assignedCluster:3}
, {tweetId:7, tweet:happy thanksgiving dude, groundTruth:0, assignedCluster:3}
, {tweetId:24, tweet:happy thanksgiving guys, groundTruth:0, assignedCluster:3}
, {tweetId:26, tweet:stranded jills aunt house lost keyshappy thanksgiving, groundTruth:0, assignedCluster:3}
, {tweetId:27, tweet:happy thanksgiving eat drink merry blessed, groundTruth:0, assignedCluster:3}
, {tweetId:30, tweet:happy thanksgiving murrica, groundTruth:0, assignedCluster:3}
, {tweetId:34, tweet:happy thanksgiving tho fam, groundTruth:0, assignedCluster:3}
, {tweetId:36, tweet:happy thanksgiving friends family thankful life, groundTruth:0, assignedCluster:3}
, {tweetId:39, tweet:happy thanksgiving turkeys, groundTruth:0, assignedCluster:3}
, {tweetId:41, tweet:happy thanksgiving thankful family thats, groundTruth:0, assignedCluster:3}
, {tweetId:44, tweet:happy thanksgiving cat, groundTruth:0, assignedCluster:3}
, {tweetId:47, tweet:don consider thanksgiving holiday, groundTruth:0, assignedCluster:3}
, {tweetId:49, tweet:happy thanksgiving techinpedagogy #happythanksgiving, groundTruth:0, assignedCluster:3}
, {tweetId:52, tweet:don know thought say dun dun dun, groundTruth:0, assignedCluster:3}
, {tweetId:55, tweet:mwaaa right back ya enjoy thanksgiving, groundTruth:0, assignedCluster:3}
, {tweetId:61, tweet:thanksgiving parade two dogs chasing rabbit #haiku, groundTruth:0, assignedCluster:3}
, {tweetId:65, tweet:ready eat, groundTruth:0, assignedCluster:3}
, {tweetId:70, tweet:thanksgiving thoughts, groundTruth:0, assignedCluster:3}
, {tweetId:72, tweet:actually happy life going right change good, groundTruth:0, assignedCluster:3}
, {tweetId:73, tweet:love guys, groundTruth:0, assignedCluster:3}
, {tweetId:74, tweet:sean homie lets link later going fam chill, groundTruth:0, assignedCluster:3}
, {tweetId:76, tweet:follow gave thought #macysparade, groundTruth:0, assignedCluster:3}
, {tweetId:77, tweet:happy thanksgiving lovely plate amazing cooking, groundTruth:0, assignedCluster:3}
, {tweetId:79, tweet:happy thanksgiving #thankful vanderbilt kitchen bar, groundTruth:0, assignedCluster:3}
, {tweetId:82, tweet:dude shoulda stayed school low bball iq, groundTruth:0, assignedCluster:3}
, {tweetId:84, tweet:glad avocados #macysparade, groundTruth:0, assignedCluster:3}
